feature,period,documents,word_count,global_freq,mean_document_freq,median_document_freq,std_document_freq,q25,q75
los,1920,51,649192,6.639022045866247,6.83470608787613,3.785727806170736,13.616655553903167,0.8652376613260022,8.074209437091104
los,1925,30,430150,5.184238056491922,6.833117722350246,4.302217201169418,8.553417153982611,2.5069972399552385,8.31608674336628
los,1930,37,710781,6.274787874183469,6.320201309515506,4.57331016189518,6.097816735732282,2.339181286549708,8.39568363088624
los,1935,20,263986,17.463047282810454,8.791546060970735,2.3602293183543264,16.02597620118856,0.932719810968785,7.838455930004416
los,1940,9,107172,7.931176053446796,7.213297450285751,6.392499467291711,6.857026007467141,3.017501508750754,7.116424708226587
los,1945,22,327816,4.087658930619615,2.5986098138943445,2.2141841649793044,2.0280064040612023,1.2559527394001408,3.7275895357583737
el,1830,31,203135,44.15782607625471,37.624173290126386,1.8542555164101613,80.97145533714523,0.0,35.165612340054054
el,1835,37,197996,37.5260106264773,37.98990994888698,0.0,94.04304781909799,0.0,21.55172413793104
el,1840,41,108120,26.452090270070293,42.55828919886637,0.0,92.67717709767321,0.0,15.174506828528074
el,1845,26,161876,72.4628728162297,51.81677520387781,2.997601918465228,83.9363767908939,0.0,65.52405520071741
el,1850,16,113386,18.697193657065245,22.81962710285911,4.101874494452867,51.110777624208986,0.0,12.353986020098008
el,1855,26,225649,63.062544039636784,49.80250224069232,0.37678975131876413,93.84897328539371,0.0,12.68697281444117
el,1860,15,85159,45.0921217956998,51.68542421869194,1.4218683349921797,85.24694581324613,0.0,93.62772240679217
el,1865,41,402467,15.355296210620994,18.151345522104027,0.679763442322072,46.05671824089233,0.0,9.82615268329554
el,1870,31,584039,10.153431534537932,10.840320345014257,2.021835826930853,22.115193429542902,0.1806032147372223,7.114920274433557
el,1875,47,710534,18.23980273991111,23.080738306598956,1.968697706467172,60.21570460976474,0.0,8.310999600843932
el,1880,55,724474,10.586991389615088,10.356636978988453,0.3636628118408612,29.42244145410672,0.0,4.533391962322202
el,1885,51,936311,9.686952305377167,22.33617139457243,1.027326895418122,56.337363563148024,0.0,3.622205566644089
el,1890,50,745568,7.524464569294819,16.36094439299588,1.0322361663455601,44.53885550368604,0.0,4.474765711091213
el,1895,57,547295,48.74884660009685,59.07619234178412,14.740203906154036,76.26421491063857,1.0304232463484375,102.24274406332454
el,1900,69,1011863,118.3065296388938,111.49926126070875,118.08367071524968,83.6103379601159,37.28628592215351,161.71400426859302
el,1905,71,1010812,122.94076445471562,116.59253200491072,141.1178079539128,77.3757256837338,39.76510843645815,172.3935804872028
