opposition,period,left_freq_per_10k,right_freq_per_10k,difference
a_acute_vs_a_grave,1920,6.238524196231623,180.6861452390048,-174.44762104277316
a_acute_vs_a_grave,1925,9.531558758572592,200.3719632686272,-190.8404045100546
a_acute_vs_a_grave,1930,2.082216603989133,182.17988381794112,-180.09766721395198
a_acute_vs_a_grave,1935,0.8333775275961604,188.57060601698575,-187.7372284893896
a_acute_vs_a_grave,1940,13.716269174784458,172.5264061508603,-158.81013697607585
a_acute_vs_a_grave,1945,2.5624130609854308,195.68904507406594,-193.12663201308052
plural_as_vs_plural_es,1830,426.76052871243263,255.05205897555814,171.7084697368745
plural_as_vs_plural_es,1835,421.8267035697691,241.87357320349906,179.95313036627005
plural_as_vs_plural_es,1840,475.5826859045505,305.40140584535703,170.18128005919345
plural_as_vs_plural_es,1845,330.80876720452693,441.69611307420496,-110.88734586967803
plural_as_vs_plural_es,1850,528.5484980509058,295.1863545764027,233.36214347450306
plural_as_vs_plural_es,1855,492.7564491754894,321.8715793112312,170.88486986425823
plural_as_vs_plural_es,1860,308.59920853932056,306.60294273065676,1.996265808663793
plural_as_vs_plural_es,1865,360.0295179480554,282.9797225611044,77.04979538695102
plural_as_vs_plural_es,1870,377.08098260561366,334.840652764627,42.24032984098665
plural_as_vs_plural_es,1875,372.8744859500038,269.29042100729873,103.58406494270508
plural_as_vs_plural_es,1880,382.3049550432452,283.3642063069206,98.94074873632457
plural_as_vs_plural_es,1885,413.31352510010026,324.32599851972265,88.98752658037762
plural_as_vs_plural_es,1890,341.2163612172196,340.43843083394137,0.7779303832782603
plural_as_vs_plural_es,1895,255.76699951580045,427.19191660804506,-171.4249170922446
plural_as_vs_plural_es,1900,207.70598391284196,531.55417284751,-323.8481889346681
plural_as_vs_plural_es,1905,49.188177425673615,728.3451324281864,-679.1569550025127
plural_as_vs_plural_es,1910,27.396279702350157,670.9485555132572,-643.5522758109071
plural_as_vs_plural_es,1915,23.44435863831543,689.3614095459458,-665.9170509076304
plural_as_vs_plural_es,1920,29.80628227088442,700.3629126668227,-670.5566303959383
plural_as_vs_plural_es,1925,18.179704754155527,705.591072881553,-687.4113681273975
plural_as_vs_plural_es,1930,31.106627779864684,657.3473404607046,-626.2407126808399
plural_as_vs_plural_es,1935,23.751259536490572,728.0310319486639,-704.2797724121733
plural_as_vs_plural_es,1940,37.22987347441496,680.7748292464449,-643.54495577203
plural_as_vs_plural_es,1945,28.857651853478778,661.0720648168484,-632.2144129633697
final_ch_vs_final_c,1830,61.48620375612278,23.186550815959826,38.29965294016295
final_ch_vs_final_c,1835,93.18370068082183,33.78856138507849,59.39513929574334
final_ch_vs_final_c,1840,56.14132445431003,26.54458009618942,29.59674435812061
final_ch_vs_final_c,1845,57.57493390002224,42.13101386246263,15.443920037559607
final_ch_vs_final_c,1850,99.74776427424902,24.95898964598804,74.78877462826098
final_ch_vs_final_c,1855,64.6136255866412,34.78854326852767,29.825082318113537
final_ch_vs_final_c,1860,77.3846569358494,36.6373489590061,40.74730797684331
final_ch_vs_final_c,1865,96.47995984763968,12.820926933139859,83.65903291449982
final_ch_vs_final_c,1870,100.55835312367839,9.108980735875514,91.44937238780287
final_ch_vs_final_c,1875,97.98264403955335,9.471749416635939,88.5108946229174
final_ch_vs_final_c,1880,96.1663220488244,11.014888042911132,85.15143400591327
final_ch_vs_final_c,1885,82.66484106242477,5.810035340821585,76.85480572160319
final_ch_vs_final_c,1890,102.92823726340185,4.922421563157217,98.00581570024464
final_ch_vs_final_c,1895,81.21762486410438,15.001050621693969,66.21657424241042
final_ch_vs_final_c,1900,62.5084621139423,35.81512517010702,26.693336943835284
final_ch_vs_final_c,1905,63.46382907998718,41.60021843824569,21.863610641741488
final_ch_vs_final_c,1910,34.147738180067094,57.15150272823996,-23.003764548172867
final_ch_vs_final_c,1915,15.28578891189164,79.55653603731645,-64.2707471254248
final_ch_vs_final_c,1920,4.5903215073506765,104.65316886221642,-100.06284735486574
final_ch_vs_final_c,1925,10.043008252935023,81.32046960362665,-71.27746135069162
final_ch_vs_final_c,1930,2.251044977285549,92.54608662865215,-90.2950416513666
final_ch_vs_final_c,1935,0.26516557696241466,79.3223883084709,-79.05722273150849
final_ch_vs_final_c,1940,2.9858545142387936,94.14772515209197,-91.16187063785317
final_ch_vs_final_c,1945,1.5862557044195524,96.70058813480733,-95.11433243038778
